t_s,agent_id,event_type,model
0.43,2,agent_flash,pco_if
0.49,1,agent_flash,pco_if
0.66,0,agent_flash,pco_if
0.81,2,agent_flash,pco_if
0.82,1,agent_flash,pco_if
1.25,2,agent_flash,pco_if
1.32,1,agent_flash,pco_if
1.33,0,agent_flash,pco_if
1.62,2,agent_flash,pco_if
1.82,1,agent_flash,pco_if
1.82,2,agent_flash,pco_if
2.0,0,agent_flash,pco_if
2.12,1,agent_flash,pco_if
2.12,2,agent_flash,pco_if
2.56,2,agent_flash,pco_if
2.62,1,agent_flash,pco_if
2.67,0,agent_flash,pco_if
2.94,2,agent_flash,pco_if
3.06,1,agent_flash,pco_if
3.27,2,agent_flash,pco_if
3.34,0,agent_flash,pco_if
3.34,1,agent_flash,pco_if
3.64,2,agent_flash,pco_if
3.84,1,agent_flash,pco_if
3.84,2,agent_flash,pco_if
4.01,0,agent_flash,pco_if
4.17,1,agent_flash,pco_if
4.17,2,agent_flash,pco_if
4.61,2,agent_flash,pco_if
4.67,1,agent_flash,pco_if
4.68,0,agent_flash,pco_if
4.99,2,agent_flash,pco_if
5.17,1,agent_flash,pco_if
5.18,2,agent_flash,pco_if
5.35,0,agent_flash,pco_if
5.47,1,agent_flash,pco_if
5.47,2,agent_flash,pco_if
5.91,2,agent_flash,pco_if
5.97,1,agent_flash,pco_if
6.02,0,agent_flash,pco_if
6.29,2,agent_flash,pco_if
6.41,1,agent_flash,pco_if
6.62,2,agent_flash,pco_if
6.69,0,agent_flash,pco_if
6.69,1,agent_flash,pco_if
6.99,2,agent_flash,pco_if
7.19,1,agent_flash,pco_if
7.19,2,agent_flash,pco_if
7.36,0,agent_flash,pco_if
7.52,1,agent_flash,pco_if
7.52,2,agent_flash,pco_if
7.96,2,agent_flash,pco_if
8.02,1,agent_flash,pco_if
8.03,0,agent_flash,pco_if
8.34,2,agent_flash,pco_if
8.52,1,agent_flash,pco_if
8.53,2,agent_flash,pco_if
8.7,0,agent_flash,pco_if
8.82,1,agent_flash,pco_if
8.82,2,agent_flash,pco_if
9.26,2,agent_flash,pco_if
9.32,1,agent_flash,pco_if
9.37,0,agent_flash,pco_if
9.64,2,agent_flash,pco_if
9.76,1,agent_flash,pco_if
9.97,2,agent_flash,pco_if
10.04,0,agent_flash,pco_if
10.04,1,agent_flash,pco_if
10.34,2,agent_flash,pco_if
10.54,1,agent_flash,pco_if
10.54,2,agent_flash,pco_if
10.71,0,agent_flash,pco_if
10.87,1,agent_flash,pco_if
10.87,2,agent_flash,pco_if
11.31,2,agent_flash,pco_if
11.37,1,agent_flash,pco_if
11.38,0,agent_flash,pco_if
11.69,2,agent_flash,pco_if
11.87,1,agent_flash,pco_if
11.88,2,agent_flash,pco_if
12.05,0,agent_flash,pco_if
12.17,1,agent_flash,pco_if
12.17,2,agent_flash,pco_if
12.61,2,agent_flash,pco_if
12.67,1,agent_flash,pco_if
12.72,0,agent_flash,pco_if
