t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,bootstrap_estimate
0.0,0.0,1.5,0.0,0.0,0.0,0,0,1
0.01,0.094248,1.5,0.094248,0.0,0.0,0,0,1
0.02,0.188496,1.5,0.188496,0.0,0.0,0,0,1
0.03,0.282743,1.5,0.282743,0.0,0.0,0,0,1
0.04,0.376991,1.5,0.376991,0.0,0.0,0,0,1
0.05,0.471239,1.5,0.471239,0.0,0.0,0,0,1
0.06,0.565487,1.5,0.565487,0.0,0.0,0,0,1
0.07,0.659734,1.5,0.659734,0.0,0.0,0,0,1
0.08,0.753982,1.5,0.753982,0.0,0.0,0,0,1
0.09,0.84823,1.5,0.84823,0.0,0.0,0,0,1
0.1,0.942478,1.5,0.942478,-0.0,-0.0,0,0,1
0.11,1.036726,1.5,1.036726,-0.0,-0.0,0,0,1
0.12,1.130973,1.5,1.130973,0.0,0.0,0,0,1
0.13,1.225221,1.5,1.225221,0.0,0.0,0,0,1
0.14,1.319469,1.5,1.319469,0.0,0.0,0,0,1
0.15,1.413717,1.5,1.413717,0.0,0.0,0,0,1
0.16,1.507964,1.5,1.507964,0.0,0.0,0,0,1
0.17,1.602212,1.5,1.602212,0.0,0.0,0,0,1
0.18,1.69646,1.5,1.69646,0.0,0.0,0,0,1
0.19,1.790708,1.5,1.790708,0.0,0.0,0,0,1
0.2,1.884956,1.5,1.884956,0.0,0.0,0,0,1
0.21,1.979203,1.5,1.979203,0.0,0.0,0,0,1
0.22,2.073451,1.5,2.073451,0.0,0.0,0,0,1
0.23,2.167699,1.5,2.167699,0.0,0.0,0,0,1
0.24,2.261947,1.5,2.261947,0.0,0.0,0,0,1
0.25,2.356194,1.5,2.356194,0.0,0.0,0,0,1
0.26,2.450442,1.5,2.450442,0.0,0.0,0,0,1
0.27,2.54469,1.5,2.54469,0.0,0.0,0,0,1
0.28,2.638938,1.5,2.638938,0.0,0.0,0,0,1
0.29,2.733186,1.5,2.733186,0.0,0.0,0,0,1
0.3,2.827433,1.5,2.827433,0.0,0.0,0,0,1
0.31,2.921681,1.5,2.921681,0.0,0.0,0,0,1
0.32,3.015929,1.5,3.015929,0.0,0.0,0,0,1
0.33,3.110177,1.5,3.110177,0.0,0.0,0,0,1
0.34,3.204425,1.5,3.204425,0.0,0.0,0,0,1
0.35,3.298672,1.5,3.298672,0.0,0.0,0,0,1
0.36,3.39292,1.5,3.39292,0.0,0.0,0,0,1
0.37,3.487168,1.5,3.487168,0.0,0.0,0,0,1
