t,follower_phase_rad,follower_frequency_hz,estimated_leader_phase_rad,phase_error_rad,coupling_term,follower_led_state,sync_state,bootstrap_estimate
0.0,0.0,2.3,0.0,0.0,0.0,0,0,1
0.01,0.144513,2.3,0.144513,0.0,0.0,0,0,1
0.02,0.289027,2.3,0.289027,0.0,0.0,0,0,1
0.03,0.43354,2.3,0.43354,0.0,0.0,0,0,1
0.04,0.578053,2.3,0.578053,0.0,0.0,0,0,1
0.05,0.722566,2.3,0.722566,0.0,0.0,0,0,1
0.06,0.86708,2.3,0.86708,0.0,0.0,0,0,1
0.07,1.011593,2.3,1.011593,0.0,0.0,0,0,1
0.08,1.156106,2.3,1.156106,0.0,0.0,0,0,1
0.09,1.300619,2.3,1.300619,0.0,0.0,0,0,1
0.1,1.445133,2.3,1.445133,0.0,0.0,0,0,1
0.11,1.589646,2.3,1.589646,0.0,0.0,0,0,1
0.12,1.734159,2.3,1.734159,0.0,0.0,0,0,1
0.13,1.878672,2.3,1.878672,0.0,0.0,0,0,1
0.14,2.023186,2.3,2.023186,0.0,0.0,0,0,1
0.15,2.167699,2.3,2.167699,0.0,0.0,0,0,1
0.16,2.312212,2.3,2.312212,0.0,0.0,0,0,1
0.17,2.456725,2.3,2.456725,0.0,0.0,0,0,1
0.18,2.601239,2.3,2.601239,0.0,0.0,0,0,1
0.19,2.745752,2.3,2.745752,0.0,0.0,0,0,1
0.2,2.890265,2.3,2.890265,0.0,0.0,0,0,1
0.21,3.034779,2.3,3.034779,0.0,0.0,0,0,1
0.22,3.179292,2.3,3.179292,0.0,0.0,0,0,1
0.23,3.323805,2.3,3.323805,0.0,0.0,0,0,1
0.24,3.468318,2.3,3.468318,0.0,0.0,0,0,1
0.25,3.612832,2.3,3.612832,0.0,0.0,0,0,1
0.26,3.757345,2.3,3.757345,0.0,0.0,0,0,1
0.27,3.901858,2.3,3.901858,0.0,0.0,0,0,1
0.28,4.046371,2.3,4.046371,0.0,0.0,0,0,1
0.29,4.190885,2.3,4.190885,0.0,0.0,0,0,1
0.3,4.335398,2.3,4.335398,0.0,0.0,0,0,1
0.31,4.479911,2.3,4.479911,0.0,0.0,0,0,1
0.32,4.624424,2.3,4.624424,0.0,0.0,0,0,1
