t_s,agent_id,model,phase,frequency_hz,is_firing
0.53,0,eapf,0.158461,1.5,0
0.54,0,eapf,0.252709,1.5,0
0.55,0,eapf,0.346957,1.5,0
0.56,0,eapf,0.441205,1.5,0
0.57,0,eapf,0.535453,1.5,0
0.58,0,eapf,0.6297,1.5,0
0.59,0,eapf,0.723948,1.5,0
0.6,0,eapf,0.818196,1.5,0
0.61,0,eapf,0.912444,1.5,0
0.62,0,eapf,1.006691,1.5,0
0.63,0,eapf,1.100939,1.5,0
0.64,0,eapf,1.195187,1.5,0
0.65,0,eapf,1.289435,1.5,0
0.66,0,eapf,1.383683,1.5,0
0.67,0,eapf,1.47793,1.5,0
0.68,0,eapf,1.572178,1.5,0
0.69,0,eapf,1.666426,1.5,0
0.7,0,eapf,1.760674,1.5,0
0.71,0,eapf,1.854921,1.5,0
0.72,0,eapf,1.949169,1.5,0
0.73,0,eapf,2.043417,1.5,0
0.74,0,eapf,2.137665,1.5,0
0.75,0,eapf,2.231913,1.5,0
0.76,0,eapf,2.32616,1.5,0
0.77,0,eapf,2.420408,1.5,0
0.78,0,eapf,2.514656,1.5,0
0.79,0,eapf,2.608904,1.5,0
0.8,0,eapf,2.703151,1.5,0
0.81,0,eapf,2.797399,1.5,0
0.82,0,eapf,2.891647,1.5,0
0.83,0,eapf,2.985895,1.5,0
0.84,0,eapf,3.080143,1.5,0
0.85,0,eapf,3.17439,1.5,0
0.86,0,eapf,3.268638,1.5,0
0.87,0,eapf,3.362886,1.5,0
0.88,0,eapf,3.457134,1.5,0
0.89,0,eapf,3.551381,1.5,0
0.9,0,eapf,3.645629,1.5,0
0.91,0,eapf,3.739877,1.5,0
0.92,0,eapf,3.834125,1.5,0
0.93,0,eapf,3.928373,1.5,0
0.94,0,eapf,4.02262,1.5,0
0.95,0,eapf,4.116868,1.5,0
0.96,0,eapf,4.211116,1.5,0
0.97,0,eapf,4.305364,1.5,0
0.98,0,eapf,4.399612,1.5,0
0.99,0,eapf,4.493859,1.5,0
1.0,0,eapf,4.588107,1.5,0
1.01,0,eapf,4.682355,1.5,0
1.02,0,eapf,4.776603,1.5,0
1.03,0,eapf,4.87085,1.5,0
1.04,0,eapf,4.965098,1.5,0
1.05,0,eapf,5.059346,1.5,0
1.06,0,eapf,5.153594,1.5,0
1.07,0,eapf,5.247842,1.5,0
1.08,0,eapf,5.342089,1.5,0
1.09,0,eapf,5.436337,1.5,0
1.1,0,eapf,5.530585,1.5,0
1.11,0,eapf,5.624833,1.5,0
1.12,0,eapf,5.71908,1.5,0
1.13,0,eapf,5.813328,1.5,0
1.14,0,eapf,5.907576,1.5,0
1.15,0,eapf,6.001824,1.5,0
1.16,0,eapf,6.096072,1.5,0
1.17,0,eapf,6.190319,1.5,0
1.18,0,eapf,0.001382,1.5,1
1.19,0,eapf,0.09563,1.5,0
1.2,0,eapf,0.189877,1.5,0
1.21,0,eapf,0.284125,1.5,0
1.22,0,eapf,0.378373,1.5,0
1.23,0,eapf,0.472621,1.5,0
1.24,0,eapf,0.566868,1.5,0
1.25,0,eapf,0.661116,1.5,0
1.26,0,eapf,0.755364,1.5,0
1.27,0,eapf,0.849612,1.5,0
1.28,0,eapf,0.94386,1.5,0
1.29,0,eapf,1.038107,1.5,0
1.3,0,eapf,1.132355,1.5,0
1.31,0,eapf,1.226603,1.5,0
1.32,0,eapf,1.320851,1.5,0
1.33,0,eapf,1.415098,1.5,0
1.34,0,eapf,1.509346,1.5,0
1.35,0,eapf,1.603594,1.5,0
1.36,0,eapf,1.697842,1.5,0
1.37,0,eapf,1.79209,1.5,0
1.38,0,eapf,1.886337,1.5,0
1.39,0,eapf,1.980585,1.5,0
1.4,0,eapf,2.074833,1.5,0
1.41,0,eapf,2.169081,1.5,0
1.42,0,eapf,2.263329,1.5,0
1.43,0,eapf,2.357576,1.5,0
1.44,0,eapf,2.451824,1.5,0
1.45,0,eapf,2.546072,1.5,0
1.46,0,eapf,2.64032,1.5,0
1.47,0,eapf,2.734567,1.5,0
1.48,0,eapf,2.828815,1.5,0
1.49,0,eapf,2.923063,1.5,0
1.5,0,eapf,3.017311,1.5,0
1.51,0,eapf,3.111559,1.5,0
1.52,0,eapf,3.205806,1.5,0
1.53,0,eapf,3.300054,1.5,0
1.54,0,eapf,3.394302,1.5,0
1.55,0,eapf,3.48855,1.5,0
1.56,0,eapf,3.582797,1.5,0
1.57,0,eapf,3.677045,1.5,0
1.58,0,eapf,3.771293,1.5,0
1.59,0,eapf,3.865541,1.5,0
1.6,0,eapf,3.959789,1.5,0
1.61,0,eapf,4.054036,1.5,0
1.62,0,eapf,4.148284,1.5,0
1.63,0,eapf,4.242532,1.5,0
1.64,0,eapf,4.33678,1.5,0
1.65,0,eapf,4.431027,1.5,0
1.66,0,eapf,4.525275,1.5,0
1.67,0,eapf,4.619523,1.5,0
1.68,0,eapf,4.713771,1.5,0
1.69,0,eapf,4.808019,1.5,0
1.7,0,eapf,4.902266,1.5,0
1.71,0,eapf,4.996514,1.5,0
1.72,0,eapf,5.090762,1.5,0
1.73,0,eapf,5.18501,1.5,0
1.74,0,eapf,5.279257,1.5,0
1.75,0,eapf,5.373505,1.5,0
1.76,0,eapf,5.467753,1.5,0
1.77,0,eapf,5.562001,1.5,0
1.78,0,eapf,5.656249,1.5,0
1.79,0,eapf,5.750496,1.5,0
1.8,0,eapf,5.844744,1.5,0
1.81,0,eapf,5.938992,1.5,0
1.82,0,eapf,6.03324,1.5,0
1.83,0,eapf,6.127487,1.5,0
1.84,0,eapf,6.221735,1.5,0
1.85,0,eapf,0.032798,1.5,1
1.86,0,eapf,0.127045,1.5,0
1.87,0,eapf,0.221293,1.5,0
1.88,0,eapf,0.315541,1.5,0
1.89,0,eapf,0.409789,1.5,0
1.9,0,eapf,0.504037,1.5,0
1.91,0,eapf,0.598284,1.5,0
1.92,0,eapf,0.692532,1.5,0
1.93,0,eapf,0.78678,1.5,0
1.94,0,eapf,0.881028,1.5,0
1.95,0,eapf,0.975276,1.5,0
1.96,0,eapf,1.069523,1.5,0
1.97,0,eapf,1.163771,1.5,0
1.98,0,eapf,1.258019,1.5,0
1.99,0,eapf,1.352267,1.5,0
2.0,0,eapf,1.446514,1.5,0
2.01,0,eapf,1.540762,1.5,0
2.02,0,eapf,1.63501,1.5,0
2.03,0,eapf,1.729258,1.5,0
2.04,0,eapf,1.823506,1.5,0
2.05,0,eapf,1.917753,1.5,0
2.06,0,eapf,2.012001,1.5,0
2.07,0,eapf,2.106249,1.5,0
2.08,0,eapf,2.200497,1.5,0
2.09,0,eapf,2.294744,1.5,0
2.1,0,eapf,2.388992,1.5,0
2.11,0,eapf,2.48324,1.5,0
2.12,0,eapf,2.577488,1.5,0
2.13,0,eapf,2.671736,1.5,0
2.14,0,eapf,2.765983,1.5,0
2.15,0,eapf,2.860231,1.5,0
2.16,0,eapf,2.954479,1.5,0
2.17,0,eapf,3.048727,1.5,0
2.18,0,eapf,3.142974,1.5,0
2.19,0,eapf,3.237222,1.5,0
2.2,0,eapf,3.33147,1.5,0
2.21,0,eapf,3.425718,1.5,0
2.22,0,eapf,3.519966,1.5,0
2.23,0,eapf,3.614213,1.5,0
2.24,0,eapf,3.708461,1.5,0
2.25,0,eapf,3.802709,1.5,0
2.26,0,eapf,3.896957,1.5,0
2.27,0,eapf,3.991204,1.5,0
2.28,0,eapf,4.085452,1.5,0
2.29,0,eapf,4.1797,1.5,0
2.3,0,eapf,4.273948,1.5,0
2.31,0,eapf,4.368196,1.5,0
2.32,0,eapf,4.462443,1.5,0
2.33,0,eapf,4.556691,1.5,0
2.34,0,eapf,4.650939,1.5,0
2.35,0,eapf,4.745187,1.5,0
2.36,0,eapf,4.839434,1.5,0
2.37,0,eapf,4.933682,1.5,0
2.38,0,eapf,5.02793,1.5,0
2.39,0,eapf,5.122178,1.5,0
2.4,0,eapf,5.216426,1.5,0
2.41,0,eapf,5.310673,1.5,0
2.42,0,eapf,5.404921,1.5,0
2.43,0,eapf,5.499169,1.5,0
2.44,0,eapf,5.593417,1.5,0
2.45,0,eapf,5.687664,1.5,0
2.46,0,eapf,5.781912,1.5,0
2.47,0,eapf,5.87616,1.5,0
2.48,0,eapf,5.970408,1.5,0
2.49,0,eapf,6.064656,1.5,0
2.5,0,eapf,6.158903,1.5,0
2.51,0,eapf,6.253151,1.5,0
2.52,0,eapf,0.064214,1.5,1
2.53,0,eapf,0.158461,1.5,0
2.54,0,eapf,0.252709,1.5,0
2.55,0,eapf,0.346957,1.5,0
2.56,0,eapf,0.441205,1.5,0
2.57,0,eapf,0.535453,1.5,0
2.58,0,eapf,0.6297,1.5,0
2.59,0,eapf,0.723948,1.5,0
2.6,0,eapf,0.818196,1.5,0
2.61,0,eapf,0.912444,1.5,0
2.62,0,eapf,1.006691,1.5,0
2.63,0,eapf,1.100939,1.5,0
2.64,0,eapf,1.195187,1.5,0
2.65,0,eapf,1.289435,1.5,0
2.66,0,eapf,1.383683,1.5,0
2.67,0,eapf,1.47793,1.5,0
2.68,0,eapf,1.572178,1.5,0
2.69,0,eapf,1.666426,1.5,0
2.7,0,eapf,1.760674,1.5,0
2.71,0,eapf,1.854921,1.5,0
2.72,0,eapf,1.949169,1.5,0
2.73,0,eapf,2.043417,1.5,0
2.74,0,eapf,2.137665,1.5,0
2.75,0,eapf,2.231913,1.5,0
2.76,0,eapf,2.32616,1.5,0
2.77,0,eapf,2.420408,1.5,0
2.78,0,eapf,2.514656,1.5,0
2.79,0,eapf,2.608904,1.5,0
2.8,0,eapf,2.703151,1.5,0
2.81,0,eapf,2.797399,1.5,0
2.82,0,eapf,2.891647,1.5,0
2.83,0,eapf,2.985895,1.5,0
2.84,0,eapf,3.080143,1.5,0
2.85,0,eapf,3.17439,1.5,0
2.86,0,eapf,3.268638,1.5,0
2.87,0,eapf,3.362886,1.5,0
2.88,0,eapf,3.457134,1.5,0
2.89,0,eapf,3.551381,1.5,0
2.9,0,eapf,3.645629,1.5,0
2.91,0,eapf,3.739877,1.5,0
2.92,0,eapf,3.834125,1.5,0
2.93,0,eapf,3.928373,1.5,0
2.94,0,eapf,4.02262,1.5,0
2.95,0,eapf,4.116868,1.5,0
2.96,0,eapf,4.211116,1.5,0
2.97,0,eapf,4.305364,1.5,0
2.98,0,eapf,4.399612,1.5,0
2.99,0,eapf,4.493859,1.5,0
3.0,0,eapf,4.588107,1.5,0
3.01,0,eapf,4.682355,1.5,0
3.02,0,eapf,4.776603,1.5,0
3.03,0,eapf,4.87085,1.5,0
3.04,0,eapf,4.965098,1.5,0
3.05,0,eapf,5.059346,1.5,0
3.06,0,eapf,5.153594,1.5,0
3.07,0,eapf,5.247842,1.5,0
3.08,0,eapf,5.342089,1.5,0
3.09,0,eapf,5.436337,1.5,0
3.1,0,eapf,5.530585,1.5,0
3.11,0,eapf,5.624833,1.5,0
3.12,0,eapf,5.71908,1.5,0
3.13,0,eapf,5.813328,1.5,0
3.14,0,eapf,5.907576,1.5,0
3.15,0,eapf,6.001824,1.5,0
3.16,0,eapf,6.096072,1.5,0
3.17,0,eapf,6.190319,1.5,0
3.18,0,eapf,0.001382,1.5,1
3.19,0,eapf,0.09563,1.5,0
3.2,0,eapf,0.189877,1.5,0
3.21,0,eapf,0.284125,1.5,0
3.22,0,eapf,0.378373,1.5,0
3.23,0,eapf,0.472621,1.5,0
3.24,0,eapf,0.566868,1.5,0
3.25,0,eapf,0.661116,1.5,0
3.26,0,eapf,0.755364,1.5,0
3.27,0,eapf,0.849612,1.5,0
3.28,0,eapf,0.94386,1.5,0
3.29,0,eapf,1.038107,1.5,0
3.3,0,eapf,1.132355,1.5,0
3.31,0,eapf,1.226603,1.5,0
3.32,0,eapf,1.320851,1.5,0
3.33,0,eapf,1.415098,1.5,0
3.34,0,eapf,1.509346,1.5,0
3.35,0,eapf,1.603594,1.5,0
3.36,0,eapf,1.697842,1.5,0
3.37,0,eapf,1.79209,1.5,0
3.38,0,eapf,1.886337,1.5,0
3.39,0,eapf,1.980585,1.5,0
3.4,0,eapf,2.074833,1.5,0
3.41,0,eapf,2.169081,1.5,0
3.42,0,eapf,2.263329,1.5,0
3.43,0,eapf,2.357576,1.5,0
3.44,0,eapf,2.451824,1.5,0
3.45,0,eapf,2.546072,1.5,0
3.46,0,eapf,2.64032,1.5,0
3.47,0,eapf,2.734567,1.5,0
3.48,0,eapf,2.828815,1.5,0
3.49,0,eapf,2.923063,1.5,0
3.5,0,eapf,3.017311,1.5,0
3.51,0,eapf,3.111559,1.5,0
3.52,0,eapf,3.205806,1.5,0
3.53,0,eapf,3.300054,1.5,0
3.54,0,eapf,3.394302,1.5,0
3.55,0,eapf,3.48855,1.5,0
3.56,0,eapf,3.582797,1.5,0
3.57,0,eapf,3.677045,1.5,0
3.58,0,eapf,3.771293,1.5,0
3.59,0,eapf,3.865541,1.5,0
3.6,0,eapf,3.959789,1.5,0
3.61,0,eapf,4.054036,1.5,0
3.62,0,eapf,4.148284,1.5,0
3.63,0,eapf,4.242532,1.5,0
3.64,0,eapf,4.33678,1.5,0
3.65,0,eapf,4.431027,1.5,0
3.66,0,eapf,4.525275,1.5,0
3.67,0,eapf,4.619523,1.5,0
3.68,0,eapf,4.713771,1.5,0
3.69,0,eapf,4.808019,1.5,0
3.7,0,eapf,4.902266,1.5,0
3.71,0,eapf,4.996514,1.5,0
3.72,0,eapf,5.090762,1.5,0
3.73,0,eapf,5.18501,1.5,0
3.74,0,eapf,5.279257,1.5,0
3.75,0,eapf,5.373505,1.5,0
3.76,0,eapf,5.467753,1.5,0
3.77,0,eapf,5.562001,1.5,0
3.78,0,eapf,5.656249,1.5,0
3.79,0,eapf,5.750496,1.5,0
3.8,0,eapf,5.844744,1.5,0
3.81,0,eapf,5.938992,1.5,0
3.82,0,eapf,6.03324,1.5,0
3.83,0,eapf,6.127487,1.5,0
3.84,0,eapf,6.221735,1.5,0
3.85,0,eapf,0.032798,1.5,1
3.86,0,eapf,0.127045,1.5,0
3.87,0,eapf,0.221293,1.5,0
3.88,0,eapf,0.315541,1.5,0
3.89,0,eapf,0.409789,1.5,0
3.9,0,eapf,0.504037,1.5,0
3.91,0,eapf,0.598284,1.5,0
3.92,0,eapf,0.692532,1.5,0
3.93,0,eapf,0.78678,1.5,0
3.94,0,eapf,0.881028,1.5,0
3.95,0,eapf,0.975276,1.5,0
3.96,0,eapf,1.069523,1.5,0
3.97,0,eapf,1.163771,1.5,0
3.98,0,eapf,1.258019,1.5,0
3.99,0,eapf,1.352267,1.5,0
4.0,0,eapf,1.446514,1.5,0
4.01,0,eapf,1.540762,1.5,0
4.02,0,eapf,1.63501,1.5,0
4.03,0,eapf,1.729258,1.5,0
4.04,0,eapf,1.823506,1.5,0
4.05,0,eapf,1.917753,1.5,0
4.06,0,eapf,2.012001,1.5,0
4.07,0,eapf,2.106249,1.5,0
4.08,0,eapf,2.200497,1.5,0
4.09,0,eapf,2.294744,1.5,0
4.1,0,eapf,2.388992,1.5,0
4.11,0,eapf,2.48324,1.5,0
4.12,0,eapf,2.577488,1.5,0
4.13,0,eapf,2.671736,1.5,0
4.14,0,eapf,2.765983,1.5,0
4.15,0,eapf,2.860231,1.5,0
4.16,0,eapf,2.954479,1.5,0
4.17,0,eapf,3.048727,1.5,0
4.18,0,eapf,3.142974,1.5,0
4.19,0,eapf,3.237222,1.5,0
4.2,0,eapf,3.33147,1.5,0
4.21,0,eapf,3.425718,1.5,0
4.22,0,eapf,3.519966,1.5,0
4.23,0,eapf,3.614213,1.5,0
4.24,0,eapf,3.708461,1.5,0
4.25,0,eapf,3.802709,1.5,0
4.26,0,eapf,3.896957,1.5,0
4.27,0,eapf,3.991204,1.5,0
4.28,0,eapf,4.085452,1.5,0
4.29,0,eapf,4.1797,1.5,0
4.3,0,eapf,4.273948,1.5,0
4.31,0,eapf,4.368196,1.5,0
4.32,0,eapf,4.462443,1.5,0
4.33,0,eapf,4.556691,1.5,0
4.34,0,eapf,4.650939,1.5,0
4.35,0,eapf,4.745187,1.5,0
4.36,0,eapf,4.839434,1.5,0
4.37,0,eapf,4.933682,1.5,0
4.38,0,eapf,5.02793,1.5,0
4.39,0,eapf,5.122178,1.5,0
4.4,0,eapf,5.216426,1.5,0
4.41,0,eapf,5.310673,1.5,0
4.42,0,eapf,5.404921,1.5,0
4.43,0,eapf,5.499169,1.5,0
4.44,0,eapf,5.593417,1.5,0
4.45,0,eapf,5.687664,1.5,0
4.46,0,eapf,5.781912,1.5,0
4.47,0,eapf,5.87616,1.5,0
4.48,0,eapf,5.970408,1.5,0
4.49,0,eapf,6.064656,1.5,0
4.5,0,eapf,6.158903,1.5,0
4.51,0,eapf,6.253151,1.5,0
4.52,0,eapf,0.064214,1.5,1
4.53,0,eapf,0.158461,1.5,0
4.54,0,eapf,0.252709,1.5,0
4.55,0,eapf,0.346957,1.5,0
4.56,0,eapf,0.441205,1.5,0
4.57,0,eapf,0.535453,1.5,0
4.58,0,eapf,0.6297,1.5,0
4.59,0,eapf,0.723948,1.5,0
4.6,0,eapf,0.818196,1.5,0
4.61,0,eapf,0.912444,1.5,0
4.62,0,eapf,1.006691,1.5,0
4.63,0,eapf,1.100939,1.5,0
4.64,0,eapf,1.195187,1.5,0
4.65,0,eapf,1.289435,1.5,0
4.66,0,eapf,1.383683,1.5,0
4.67,0,eapf,1.47793,1.5,0
4.68,0,eapf,1.572178,1.5,0
4.69,0,eapf,1.666426,1.5,0
4.7,0,eapf,1.760674,1.5,0
4.71,0,eapf,1.854921,1.5,0
4.72,0,eapf,1.949169,1.5,0
4.73,0,eapf,2.043417,1.5,0
4.74,0,eapf,2.137665,1.5,0
4.75,0,eapf,2.231913,1.5,0
4.76,0,eapf,2.32616,1.5,0
4.77,0,eapf,2.420408,1.5,0
4.78,0,eapf,2.514656,1.5,0
4.79,0,eapf,2.608904,1.5,0
4.8,0,eapf,2.703151,1.5,0
4.81,0,eapf,2.797399,1.5,0
4.82,0,eapf,2.891647,1.5,0
4.83,0,eapf,2.985895,1.5,0
4.84,0,eapf,3.080143,1.5,0
4.85,0,eapf,3.17439,1.5,0
4.86,0,eapf,3.268638,1.5,0
4.87,0,eapf,3.362886,1.5,0
4.88,0,eapf,3.457134,1.5,0
4.89,0,eapf,3.551381,1.5,0
4.9,0,eapf,3.645629,1.5,0
4.91,0,eapf,3.739877,1.5,0
4.92,0,eapf,3.834125,1.5,0
4.93,0,eapf,3.928373,1.5,0
4.94,0,eapf,4.02262,1.5,0
4.95,0,eapf,4.116868,1.5,0
4.96,0,eapf,4.211116,1.5,0
4.97,0,eapf,4.305364,1.5,0
4.98,0,eapf,4.399612,1.5,0
4.99,0,eapf,4.493859,1.5,0
5.0,0,eapf,4.588107,1.5,0
5.01,0,eapf,4.682355,1.5,0
5.02,0,eapf,4.776603,1.5,0
5.03,0,eapf,4.87085,1.5,0
5.04,0,eapf,4.965098,1.5,0
5.05,0,eapf,5.059346,1.5,0
5.06,0,eapf,5.153594,1.5,0
5.07,0,eapf,5.247842,1.5,0
5.08,0,eapf,5.342089,1.5,0
5.09,0,eapf,5.436337,1.5,0
5.1,0,eapf,5.530585,1.5,0
5.11,0,eapf,5.624833,1.5,0
5.12,0,eapf,5.71908,1.5,0
5.13,0,eapf,5.813328,1.5,0
5.14,0,eapf,5.907576,1.5,0
5.15,0,eapf,6.001824,1.5,0
5.16,0,eapf,6.096072,1.5,0
5.17,0,eapf,6.190319,1.5,0
5.18,0,eapf,0.001382,1.5,1
5.19,0,eapf,0.09563,1.5,0
5.2,0,eapf,0.189877,1.5,0
5.21,0,eapf,0.284125,1.5,0
5.22,0,eapf,0.378373,1.5,0
5.23,0,eapf,0.472621,1.5,0
5.24,0,eapf,0.566868,1.5,0
5.25,0,eapf,0.661116,1.5,0
5.26,0,eapf,0.755364,1.5,0
5.27,0,eapf,0.849612,1.5,0
5.28,0,eapf,0.94386,1.5,0
5.29,0,eapf,1.038107,1.5,0
5.3,0,eapf,1.132355,1.5,0
5.31,0,eapf,1.226603,1.5,0
5.32,0,eapf,1.320851,1.5,0
5.33,0,eapf,1.415098,1.5,0
5.34,0,eapf,1.509346,1.5,0
5.35,0,eapf,1.603594,1.5,0
5.36,0,eapf,1.697842,1.5,0
5.37,0,eapf,1.79209,1.5,0
5.38,0,eapf,1.886337,1.5,0
5.39,0,eapf,1.980585,1.5,0
5.4,0,eapf,2.074833,1.5,0
5.41,0,eapf,2.169081,1.5,0
5.42,0,eapf,2.263329,1.5,0
5.43,0,eapf,2.357576,1.5,0
5.44,0,eapf,2.451824,1.5,0
5.45,0,eapf,2.546072,1.5,0
5.46,0,eapf,2.64032,1.5,0
5.47,0,eapf,2.734567,1.5,0
5.48,0,eapf,2.828815,1.5,0
5.49,0,eapf,2.923063,1.5,0
5.5,0,eapf,3.017311,1.5,0
5.51,0,eapf,3.111559,1.5,0
5.52,0,eapf,3.205806,1.5,0
5.53,0,eapf,3.300054,1.5,0
5.54,0,eapf,3.394302,1.5,0
5.55,0,eapf,3.48855,1.5,0
5.56,0,eapf,3.582797,1.5,0
5.57,0,eapf,3.677045,1.5,0
5.58,0,eapf,3.771293,1.5,0
5.59,0,eapf,3.865541,1.5,0
5.6,0,eapf,3.959789,1.5,0
5.61,0,eapf,4.054036,1.5,0
5.62,0,eapf,4.148284,1.5,0
5.63,0,eapf,4.242532,1.5,0
5.64,0,eapf,4.33678,1.5,0
5.65,0,eapf,4.431027,1.5,0
5.66,0,eapf,4.525275,1.5,0
5.67,0,eapf,4.619523,1.5,0
5.68,0,eapf,4.713771,1.5,0
5.69,0,eapf,4.808019,1.5,0
5.7,0,eapf,4.902266,1.5,0
5.71,0,eapf,4.996514,1.5,0
5.72,0,eapf,5.090762,1.5,0
5.73,0,eapf,5.18501,1.5,0
5.74,0,eapf,5.279257,1.5,0
5.75,0,eapf,5.373505,1.5,0
5.76,0,eapf,5.467753,1.5,0
5.77,0,eapf,5.562001,1.5,0
5.78,0,eapf,5.656249,1.5,0
5.79,0,eapf,5.750496,1.5,0
5.8,0,eapf,5.844744,1.5,0
5.81,0,eapf,5.938992,1.5,0
5.82,0,eapf,6.03324,1.5,0
5.83,0,eapf,6.127487,1.5,0
5.84,0,eapf,6.221735,1.5,0
5.85,0,eapf,0.032798,1.5,1
5.86,0,eapf,0.127045,1.5,0
5.87,0,eapf,0.221293,1.5,0
5.88,0,eapf,0.315541,1.5,0
5.89,0,eapf,0.409789,1.5,0
5.9,0,eapf,0.504037,1.5,0
5.91,0,eapf,0.598284,1.5,0
5.92,0,eapf,0.692532,1.5,0
5.93,0,eapf,0.78678,1.5,0
5.94,0,eapf,0.881028,1.5,0
5.95,0,eapf,0.975276,1.5,0
5.96,0,eapf,1.069523,1.5,0
5.97,0,eapf,1.163771,1.5,0
5.98,0,eapf,1.258019,1.5,0
5.99,0,eapf,1.352267,1.5,0
6.0,0,eapf,1.446514,1.5,0
6.01,0,eapf,1.540762,1.5,0
6.02,0,eapf,1.63501,1.5,0
6.03,0,eapf,1.729258,1.5,0
6.04,0,eapf,1.823506,1.5,0
6.05,0,eapf,1.917753,1.5,0
6.06,0,eapf,2.012001,1.5,0
6.07,0,eapf,2.106249,1.5,0
6.08,0,eapf,2.200497,1.5,0
6.09,0,eapf,2.294744,1.5,0
6.1,0,eapf,2.388992,1.5,0
6.11,0,eapf,2.48324,1.5,0
6.12,0,eapf,2.577488,1.5,0
6.13,0,eapf,2.671736,1.5,0
6.14,0,eapf,2.765983,1.5,0
6.15,0,eapf,2.860231,1.5,0
6.16,0,eapf,2.954479,1.5,0
6.17,0,eapf,3.048727,1.5,0
6.18,0,eapf,3.142974,1.5,0
6.19,0,eapf,3.237222,1.5,0
6.2,0,eapf,3.33147,1.5,0
6.21,0,eapf,3.425718,1.5,0
6.22,0,eapf,3.519966,1.5,0
6.23,0,eapf,3.614213,1.5,0
6.24,0,eapf,3.708461,1.5,0
6.25,0,eapf,3.802709,1.5,0
6.26,0,eapf,3.896957,1.5,0
6.27,0,eapf,3.991204,1.5,0
6.28,0,eapf,4.085452,1.5,0
6.29,0,eapf,4.1797,1.5,0
6.3,0,eapf,4.273948,1.5,0
6.31,0,eapf,4.368196,1.5,0
6.32,0,eapf,4.462443,1.5,0
6.33,0,eapf,4.556691,1.5,0
6.34,0,eapf,4.650939,1.5,0
6.35,0,eapf,4.745187,1.5,0
6.36,0,eapf,4.839434,1.5,0
6.37,0,eapf,4.933682,1.5,0
6.38,0,eapf,5.02793,1.5,0
6.39,0,eapf,5.122178,1.5,0
6.4,0,eapf,5.216426,1.5,0
6.41,0,eapf,5.310673,1.5,0
6.42,0,eapf,5.404921,1.5,0
6.43,0,eapf,5.499169,1.5,0
6.44,0,eapf,5.593417,1.5,0
6.45,0,eapf,5.687664,1.5,0
6.46,0,eapf,5.781912,1.5,0
6.47,0,eapf,5.87616,1.5,0
6.48,0,eapf,5.970408,1.5,0
6.49,0,eapf,6.064656,1.5,0
6.5,0,eapf,6.158903,1.5,0
6.51,0,eapf,6.253151,1.5,0
6.52,0,eapf,0.064214,1.5,1
6.53,0,eapf,0.158461,1.5,0
6.54,0,eapf,0.252709,1.5,0
6.55,0,eapf,0.346957,1.5,0
6.56,0,eapf,0.441205,1.5,0
6.57,0,eapf,0.535453,1.5,0
6.58,0,eapf,0.6297,1.5,0
6.59,0,eapf,0.723948,1.5,0
6.6,0,eapf,0.818196,1.5,0
6.61,0,eapf,0.912444,1.5,0
6.62,0,eapf,1.006691,1.5,0
6.63,0,eapf,1.100939,1.5,0
