t_s,phase_rad,freq_hz,phase_err,flash
1.2e-05,0.000111,1.5,0.0,0
3.5e-05,0.000325,1.5,0.0,0
4.8e-05,0.000449,1.5,0.0,0
5.4e-05,0.000506,1.5,0.0,0
5.8e-05,0.000546,1.5,0.0,0
6.2e-05,0.000584,1.5,0.0,0
6.6e-05,0.000617,1.5,0.0,0
6.9e-05,0.000649,1.5,0.0,0
7.2e-05,0.00068,1.5,0.0,0
7.6e-05,0.000714,1.5,0.0,0
7.9e-05,0.000745,1.5,0.0,0
8.2e-05,0.000778,1.5,0.0,0
8.6e-05,0.000813,1.5,0.0,0
9e-05,0.000848,1.5,0.0,0
9.4e-05,0.000881,1.5,0.0,0
9.7e-05,0.000913,1.5,0.0,0
0.0001,0.000946,1.5,0.0,0
0.000104,0.000983,1.5,0.0,0
0.000108,0.001017,1.5,0.0,0
0.000112,0.001053,1.5,0.0,0
0.000115,0.001085,1.5,0.0,0
0.000119,0.001117,1.5,0.0,0
0.000122,0.001149,1.5,0.0,0
0.000125,0.001183,1.5,0.0,0
0.000129,0.00122,1.5,0.0,0
0.000133,0.001255,1.5,0.0,0
0.000137,0.00129,1.5,0.0,0
0.00014,0.001324,1.5,0.0,0
0.000144,0.00136,1.5,0.0,0
0.000148,0.001391,1.5,0.0,0
0.000151,0.001424,1.5,0.0,0
0.000155,0.001456,1.5,0.0,0
0.000158,0.001487,1.5,0.0,0
0.000161,0.001521,1.5,0.0,0
0.000165,0.001553,1.5,0.0,0
0.000168,0.001586,1.5,0.0,0
0.000174,0.001635,1.5,0.0,0
0.000177,0.001667,1.5,0.0,0
0.00018,0.0017,1.5,0.0,0
0.000184,0.001732,1.5,0.0,0
0.000187,0.001763,1.5,0.0,0
0.000191,0.001798,1.5,0.0,0
0.000194,0.00183,1.5,0.0,0
0.000198,0.001862,1.5,0.0,0
0.000201,0.001893,1.5,0.0,0
0.000204,0.001926,1.5,0.0,0
0.000208,0.001958,1.5,0.0,0
0.000211,0.001989,1.5,0.0,0
0.000214,0.00202,1.5,0.0,0
0.000218,0.002052,1.5,0.0,0
0.000221,0.002083,1.5,0.0,0
0.000224,0.002115,1.5,0.0,0
0.000229,0.002162,1.5,0.0,0
0.000233,0.002198,1.5,0.0,0
0.000236,0.002229,1.5,0.0,0
0.00024,0.00226,1.5,0.0,0
0.000243,0.002292,1.5,0.0,0
0.000247,0.002324,1.5,0.0,0
0.00025,0.002357,1.5,0.0,0
0.000254,0.002392,1.5,0.0,0
0.000257,0.002423,1.5,0.0,0
0.00026,0.002454,1.5,0.0,0
0.000264,0.002484,1.5,0.0,0
0.000267,0.002515,1.5,0.0,0
0.00027,0.002548,1.5,0.0,0
0.000274,0.002586,1.5,0.0,0
0.000278,0.002616,1.5,0.0,0
0.000282,0.002657,1.5,0.0,0
0.000285,0.002689,1.5,0.0,0
0.000289,0.002721,1.5,0.0,0
0.000292,0.002753,1.5,0.0,0
0.000295,0.002784,1.5,0.0,0
0.000299,0.002815,1.5,0.0,0
0.000302,0.002846,1.5,0.0,0
0.000305,0.002876,1.5,0.0,0
0.000308,0.002908,1.5,0.0,0
0.000312,0.002938,1.5,0.0,0
0.000315,0.002974,1.5,0.0,0
0.000319,0.003005,1.5,0.0,0
0.000322,0.003038,1.5,0.0,0
0.000326,0.003071,1.5,0.0,0
0.000329,0.003103,1.5,0.0,0
0.000333,0.003139,1.5,0.0,0
0.000337,0.00318,1.5,0.0,0
0.000341,0.003213,1.5,0.0,0
0.000344,0.003245,1.5,0.0,0
0.000348,0.003276,1.5,0.0,0
0.000351,0.003308,1.5,0.0,0
0.000354,0.003341,1.5,0.0,0
0.000358,0.003373,1.5,0.0,0
0.000361,0.003404,1.5,0.0,0
0.000365,0.003435,1.5,0.0,0
0.000368,0.003466,1.5,0.0,0
0.000372,0.003504,1.5,0.0,0
0.000375,0.003534,1.5,0.0,0
0.000378,0.003566,1.5,0.0,0
0.000382,0.003598,1.5,0.0,0
0.000385,0.003629,1.5,0.0,0
0.000388,0.00366,1.5,0.0,0
0.000393,0.003703,1.5,0.0,0
0.000396,0.003736,1.5,0.0,0
0.0004,0.003769,1.5,0.0,0
0.000403,0.003802,1.5,0.0,0
0.000407,0.003834,1.5,0.0,0
0.00041,0.003866,1.5,0.0,0
0.000414,0.003898,1.5,0.0,0
0.000417,0.00393,1.5,0.0,0
0.00042,0.003962,1.5,0.0,0
0.000424,0.003994,1.5,0.0,0
0.000429,0.004039,1.5,0.0,0
0.000432,0.00407,1.5,0.0,0
0.000435,0.004102,1.5,0.0,0
0.000438,0.004133,1.5,0.0,0
0.000442,0.004164,1.5,0.0,0
0.000445,0.004195,1.5,0.0,0
0.00045,0.004239,1.5,0.0,0
0.000453,0.004272,1.5,0.0,0
0.000458,0.004317,1.5,0.0,0
0.000462,0.004351,1.5,0.0,0
0.000465,0.004383,1.5,0.0,0
0.000468,0.004414,1.5,0.0,0
0.000472,0.004445,1.5,0.0,0
0.000475,0.004474,1.5,0.0,0
0.000478,0.004505,1.5,0.0,0
0.000481,0.004536,1.5,0.0,0
0.000484,0.004566,1.5,0.0,0
0.000488,0.004597,1.5,0.0,0
0.000491,0.004628,1.5,0.0,0
0.000494,0.004658,1.5,0.0,0
0.000498,0.004695,1.5,0.0,0
0.000502,0.004727,1.5,0.0,0
0.000506,0.004769,1.5,0.0,0
0.000509,0.004801,1.5,0.0,0
0.000513,0.004831,1.5,0.0,0
0.000516,0.004863,1.5,0.0,0
0.000519,0.004896,1.5,0.0,0
0.000523,0.00493,1.5,0.0,0
0.000526,0.004961,1.5,0.0,0
0.00053,0.004991,1.5,0.0,0
0.000533,0.005022,1.5,0.0,0
0.000537,0.005058,1.5,0.0,0
0.00054,0.00509,1.5,0.0,0
0.000545,0.005136,1.5,0.0,0
0.000548,0.005169,1.5,0.0,0
0.000552,0.005201,1.5,0.0,0
0.000555,0.005233,1.5,0.0,0
0.000558,0.005263,1.5,0.0,0
0.000563,0.005305,1.5,0.0,0
0.000566,0.005336,1.5,0.0,0
0.00057,0.005375,1.5,0.0,0
0.000574,0.005407,1.5,0.0,0
0.000577,0.005437,1.5,0.0,0
0.00058,0.005468,1.5,0.0,0
0.000583,0.005499,1.5,0.0,0
0.000587,0.00553,1.5,0.0,0
0.00059,0.00556,1.5,0.0,0
0.000593,0.005592,1.5,0.0,0
0.000596,0.005621,1.5,0.0,0
0.0006,0.005651,1.5,0.0,0
0.000603,0.005683,1.5,0.0,0
0.000606,0.005713,1.5,0.0,0
0.000609,0.005743,1.5,0.0,0
0.000613,0.005773,1.5,0.0,0
0.000617,0.005818,1.5,0.0,0
0.000621,0.005849,1.5,0.0,0
0.000624,0.00588,1.5,0.0,0
0.000627,0.005911,1.5,0.0,0
0.000632,0.005953,1.5,0.0,0
0.000635,0.005985,1.5,0.0,0
0.000638,0.006017,1.5,0.0,0
0.000642,0.006048,1.5,0.0,0
0.000645,0.00608,1.5,0.0,0
0.000648,0.006111,1.5,0.0,0
0.000652,0.006149,1.5,0.0,0
0.000656,0.006181,1.5,0.0,0
0.000659,0.006211,1.5,0.0,0
0.000662,0.006242,1.5,0.0,0
0.000666,0.006272,1.5,0.0,0
0.000669,0.006303,1.5,0.0,0
0.000674,0.006353,1.5,0.0,0
0.000678,0.006387,1.5,0.0,0
0.000681,0.006419,1.5,0.0,0
0.000685,0.006451,1.5,0.0,0
0.000688,0.006482,1.5,0.0,0
0.000691,0.006513,1.5,0.0,0
0.000694,0.006544,1.5,0.0,0
0.000698,0.006575,1.5,0.0,0
0.000701,0.006607,1.5,0.0,0
0.000705,0.00664,1.5,0.0,0
0.000708,0.006671,1.5,0.0,0
0.000711,0.006703,1.5,0.0,0
0.000714,0.006734,1.5,0.0,0
0.000718,0.006765,1.5,0.0,0
0.000722,0.006808,1.5,0.0,0
0.000727,0.00685,1.5,0.0,0
0.00073,0.006883,1.5,0.0,0
0.000734,0.006915,1.5,0.0,0
0.000737,0.006946,1.5,0.0,0
0.00074,0.006977,1.5,0.0,0
0.000744,0.007009,1.5,0.0,0
0.000747,0.00704,1.5,0.0,0
0.000751,0.00708,1.5,0.0,0
0.000755,0.007111,1.5,0.0,0
0.000758,0.007141,1.5,0.0,0
0.000761,0.007172,1.5,0.0,0
0.000764,0.007202,1.5,0.0,0
0.000768,0.007234,1.5,0.0,0
0.000771,0.007265,1.5,0.0,0
0.000774,0.007295,1.5,0.0,0
0.000777,0.007324,1.5,0.0,0
0.000782,0.007367,1.5,0.0,0
0.000785,0.007399,1.5,0.0,0
0.000789,0.007431,1.5,0.0,0
0.000792,0.007463,1.5,0.0,0
0.000795,0.007493,1.5,0.0,0
0.000798,0.007525,1.5,0.0,0
0.000819,0.007717,1.5,0.0,0
0.000822,0.007751,1.5,0.0,0
0.000826,0.007784,1.5,0.0,0
0.000831,0.007829,1.5,0.0,0
0.000834,0.00786,1.5,0.0,0
0.000838,0.007893,1.5,0.0,0
0.000841,0.007923,1.5,0.0,0
0.000844,0.007955,1.5,0.0,0
0.000847,0.007985,1.5,0.0,0
0.00085,0.008016,1.5,0.0,0
0.000855,0.008058,1.5,0.0,0
0.000858,0.00809,1.5,0.0,0
0.000862,0.008122,1.5,0.0,0
0.000865,0.008152,1.5,0.0,0
0.000868,0.008183,1.5,0.0,0
0.000872,0.008215,1.5,0.0,0
0.000875,0.008245,1.5,0.0,0
0.000879,0.008284,1.5,0.0,0
0.000882,0.008315,1.5,0.0,0
0.000886,0.008348,1.5,0.0,0
0.000889,0.008379,1.5,0.0,0
0.000892,0.008409,1.5,0.0,0
0.000896,0.00844,1.5,0.0,0
0.000899,0.008471,1.5,0.0,0
0.000902,0.008501,1.5,0.0,0
0.000905,0.008531,1.5,0.0,0
0.00091,0.008575,1.5,0.0,0
0.000913,0.008608,1.5,0.0,0
0.000918,0.008648,1.5,0.0,0
0.000921,0.00868,1.5,0.0,0
0.000924,0.008711,1.5,0.0,0
0.000928,0.008743,1.5,0.0,0
0.000931,0.008775,1.5,0.0,0
0.000934,0.008807,1.5,0.0,0
0.000938,0.008837,1.5,0.0,0
0.000941,0.008867,1.5,0.0,0
0.000944,0.008898,1.5,0.0,0
0.000947,0.008929,1.5,0.0,0
0.000951,0.008963,1.5,0.0,0
0.000954,0.008994,1.5,0.0,0
0.000958,0.009025,1.5,0.0,0
0.000961,0.009058,1.5,0.0,0
0.000966,0.009101,1.5,0.0,0
0.000969,0.009133,1.5,0.0,0
0.000972,0.009165,1.5,0.0,0
0.000976,0.009198,1.5,0.0,0
0.000979,0.009229,1.5,0.0,0
0.000983,0.009263,1.5,0.0,0
0.000986,0.009295,1.5,0.0,0
0.00099,0.009327,1.5,0.0,0
0.000993,0.009361,1.5,0.0,0
0.000997,0.009393,1.5,0.0,0
0.001,0.009426,1.5,0.0,0
0.001006,0.009478,1.5,0.0,0
0.001009,0.009511,1.5,0.0,0
0.001013,0.009544,1.5,0.0,0
0.001016,0.009575,1.5,0.0,0
0.00102,0.009611,1.5,0.0,0
0.001024,0.009654,1.5,0.0,0
0.001028,0.009688,1.5,0.0,0
0.001031,0.009721,1.5,0.0,0
0.001035,0.009755,1.5,0.0,0
0.001038,0.009785,1.5,0.0,0
0.001042,0.009817,1.5,0.0,0
0.001045,0.009848,1.5,0.0,0
0.001048,0.009879,1.5,0.0,0
0.001052,0.009911,1.5,0.0,0
0.001055,0.009943,1.5,0.0,0
0.001058,0.009974,1.5,0.0,0
0.001062,0.010006,1.5,0.0,0
0.001065,0.010038,1.5,0.0,0
0.001069,0.010073,1.5,0.0,0
0.001072,0.010105,1.5,0.0,0
0.001076,0.010136,1.5,0.0,0
0.00108,0.01018,1.5,0.0,0
0.001084,0.010213,1.5,0.0,0
0.001087,0.010246,1.5,0.0,0
0.00109,0.010276,1.5,0.0,0
0.001094,0.010307,1.5,0.0,0
0.001098,0.01035,1.5,0.0,0
0.001102,0.010383,1.5,0.0,0
0.001105,0.010415,1.5,0.0,0
0.001108,0.010446,1.5,0.0,0
0.001112,0.010478,1.5,0.0,0
0.001115,0.01051,1.5,0.0,0
0.001118,0.010542,1.5,0.0,0
0.001122,0.010573,1.5,0.0,0
0.001125,0.010606,1.5,0.0,0
0.001129,0.010636,1.5,0.0,0
0.001132,0.010667,1.5,0.0,0
0.001141,0.010749,1.5,0.0,0
0.001144,0.010782,1.5,0.0,0
0.001147,0.010812,1.5,0.0,0
0.001152,0.010854,1.5,0.0,0
0.001155,0.010885,1.5,0.0,0
0.001158,0.010915,1.5,0.0,0
0.001161,0.010946,1.5,0.0,0
0.001165,0.010978,1.5,0.0,0
0.001168,0.011009,1.5,0.0,0
0.001172,0.011042,1.5,0.0,0
0.001175,0.011073,1.5,0.0,0
0.001178,0.011104,1.5,0.0,0
0.001182,0.011135,1.5,0.0,0
0.001185,0.011166,1.5,0.0,0
0.001188,0.011199,1.5,0.0,0
0.001192,0.011232,1.5,0.0,0
0.001195,0.011264,1.5,0.0,0
0.001198,0.011295,1.5,0.0,0
0.001202,0.011326,1.5,0.0,0
0.001205,0.011356,1.5,0.0,0
0.001208,0.011385,1.5,0.0,0
0.001211,0.011415,1.5,0.0,0
0.001214,0.011445,1.5,0.0,0
0.001218,0.011476,1.5,0.0,0
0.001221,0.011509,1.5,0.0,0
0.001224,0.01154,1.5,0.0,0
0.001228,0.011571,1.5,0.0,0
0.001231,0.011601,1.5,0.0,0
0.001234,0.011632,1.5,0.0,0
0.001237,0.011663,1.5,0.0,0
0.001241,0.011694,1.5,0.0,0
0.001244,0.011726,1.5,0.0,0
0.001248,0.011757,1.5,0.0,0
0.001251,0.011789,1.5,0.0,0
0.001254,0.01182,1.5,0.0,0
0.001257,0.011851,1.5,0.0,0
0.00126,0.01188,1.5,0.0,0
0.001264,0.011912,1.5,0.0,0
0.001267,0.011942,1.5,0.0,0
0.00127,0.011972,1.5,0.0,0
0.001274,0.012006,1.5,0.0,0
0.001277,0.012035,1.5,0.0,0
0.00128,0.012067,1.5,0.0,0
0.001284,0.0121,1.5,0.0,0
0.001287,0.012133,1.5,0.0,0
0.001291,0.012166,1.5,0.0,0
0.001294,0.012198,1.5,0.0,0
0.001299,0.01224,1.5,0.0,0
0.001302,0.012271,1.5,0.0,0
0.001305,0.012303,1.5,0.0,0
0.001309,0.012333,1.5,0.0,0
0.001312,0.012364,1.5,0.0,0
0.001315,0.012395,1.5,0.0,0
0.001318,0.012425,1.5,0.0,0
0.001321,0.012455,1.5,0.0,0
0.001325,0.012486,1.5,0.0,0
0.001328,0.012516,1.5,0.0,0
0.001331,0.012546,1.5,0.0,0
0.001335,0.012578,1.5,0.0,0
0.001338,0.012609,1.5,0.0,0
0.001341,0.012641,1.5,0.0,0
0.001344,0.012672,1.5,0.0,0
0.001348,0.012702,1.5,0.0,0
0.001351,0.012735,1.5,0.0,0
0.001355,0.012766,1.5,0.0,0
0.001358,0.012799,1.5,0.0,0
0.001361,0.01283,1.5,0.0,0
0.001364,0.01286,1.5,0.0,0
0.001368,0.01289,1.5,0.0,0
0.001371,0.012922,1.5,0.0,0
0.001374,0.012952,1.5,0.0,0
0.001378,0.012983,1.5,0.0,0
0.001381,0.013013,1.5,0.0,0
0.001384,0.013044,1.5,0.0,0
0.001387,0.013074,1.5,0.0,0
0.00139,0.013104,1.5,0.0,0
0.001394,0.013137,1.5,0.0,0
0.001397,0.013169,1.5,0.0,0
0.0014,0.013198,1.5,0.0,0
0.001404,0.013232,1.5,0.0,0
0.001407,0.013263,1.5,0.0,0
0.001411,0.013294,1.5,0.0,0
0.001414,0.013325,1.5,0.0,0
0.001417,0.013357,1.5,0.0,0
0.00142,0.013388,1.5,0.0,0
0.001424,0.01342,1.5,0.0,0
0.001427,0.01345,1.5,0.0,0
0.00143,0.01348,1.5,0.0,0
0.001434,0.013512,1.5,0.0,0
0.001437,0.013542,1.5,0.0,0
0.00144,0.013573,1.5,0.0,0
0.001444,0.013606,1.5,0.0,0
0.001447,0.013638,1.5,0.0,0
0.00145,0.013668,1.5,0.0,0
0.001454,0.013699,1.5,0.0,0
0.001458,0.013743,1.5,0.0,0
0.001462,0.013776,1.5,0.0,0
0.001466,0.013812,1.5,0.0,0
0.001469,0.013847,1.5,0.0,0
0.001472,0.013877,1.5,0.0,0
0.001476,0.013908,1.5,0.0,0
0.001479,0.013938,1.5,0.0,0
0.001482,0.013969,1.5,0.0,0
0.001485,0.014001,1.5,0.0,0
0.001489,0.014031,1.5,0.0,0
0.001492,0.014063,1.5,0.0,0
0.001495,0.014094,1.5,0.0,0
0.001499,0.014124,1.5,0.0,0
0.001502,0.014156,1.5,0.0,0
0.001505,0.014187,1.5,0.0,0
0.001508,0.014217,1.5,0.0,0
0.001512,0.014252,1.5,0.0,0
0.001516,0.014287,1.5,0.0,0
0.001519,0.014318,1.5,0.0,0
0.001522,0.014348,1.5,0.0,0
0.001526,0.014379,1.5,0.0,0
0.001529,0.01441,1.5,0.0,0
0.001532,0.014443,1.5,0.0,0
0.001536,0.014475,1.5,0.0,0
0.001539,0.014505,1.5,0.0,0
0.001542,0.014536,1.5,0.0,0
0.001546,0.014568,1.5,0.0,0
0.001549,0.014601,1.5,0.0,0
0.001552,0.014631,1.5,0.0,0
0.001556,0.014662,1.5,0.0,0
0.001559,0.014692,1.5,0.0,0
0.001562,0.014723,1.5,0.0,0
0.001567,0.01477,1.5,0.0,0
0.00157,0.014802,1.5,0.0,0
0.001574,0.014834,1.5,0.0,0
0.001577,0.014865,1.5,0.0,0
0.001581,0.014897,1.5,0.0,0
0.001584,0.014929,1.5,0.0,0
0.001587,0.014959,1.5,0.0,0
0.00159,0.014989,1.5,0.0,0
0.001594,0.015021,1.5,0.0,0
0.001597,0.015052,1.5,0.0,0
0.0016,0.015083,1.5,0.0,0
0.001604,0.015115,1.5,0.0,0
0.001607,0.015146,1.5,0.0,0
0.00161,0.015176,1.5,0.0,0
0.001614,0.015207,1.5,0.0,0
0.001618,0.015249,1.5,0.0,0
0.001622,0.015282,1.5,0.0,0
0.001625,0.015314,1.5,0.0,0
0.001628,0.015345,1.5,0.0,0
0.001632,0.015377,1.5,0.0,0
0.001635,0.01541,1.5,0.0,0
0.001638,0.015442,1.5,0.0,0
0.001642,0.015473,1.5,0.0,0
0.001645,0.015504,1.5,0.0,0
0.00165,0.015549,1.5,0.0,0
0.001653,0.015582,1.5,0.0,0
0.001657,0.015613,1.5,0.0,0
0.00166,0.015645,1.5,0.0,0
0.001663,0.015677,1.5,0.0,0
0.001667,0.015709,1.5,0.0,0
0.00167,0.01574,1.5,0.0,0
0.001674,0.015781,1.5,0.0,0
0.001679,0.015824,1.5,0.0,0
0.001682,0.015856,1.5,0.0,0
0.001686,0.015887,1.5,0.0,0
0.001689,0.015918,1.5,0.0,0
0.001692,0.01595,1.5,0.0,0
0.001696,0.015983,1.5,0.0,0
0.001699,0.016014,1.5,0.0,0
0.001702,0.016045,1.5,0.0,0
0.001706,0.016078,1.5,0.0,0
0.001709,0.016109,1.5,0.0,0
0.001713,0.01614,1.5,0.0,0
0.001716,0.016173,1.5,0.0,0
0.001719,0.016203,1.5,0.0,0
0.001723,0.016235,1.5,0.0,0
0.001726,0.016265,1.5,0.0,0
0.00173,0.016306,1.5,0.0,0
0.001733,0.016338,1.5,0.0,0
0.001737,0.016369,1.5,0.0,0
0.00174,0.0164,1.5,0.0,0
0.001744,0.016432,1.5,0.0,0
0.001747,0.016464,1.5,0.0,0
0.00175,0.016494,1.5,0.0,0
0.001753,0.016525,1.5,0.0,0
0.001757,0.016557,1.5,0.0,0
0.00176,0.016588,1.5,0.0,0
0.001763,0.01662,1.5,0.0,0
0.001767,0.016651,1.5,0.0,0
0.00177,0.016681,1.5,0.0,0
0.001773,0.016713,1.5,0.0,0
0.001776,0.016743,1.5,0.0,0
0.00178,0.016774,1.5,0.0,0
0.001784,0.016818,1.5,0.0,0
0.001789,0.01686,1.5,0.0,0
0.001792,0.016894,1.5,0.0,0
0.001796,0.016926,1.5,0.0,0
0.001836,0.017304,1.5,0.0,0
0.001841,0.017351,1.5,0.0,0
0.001844,0.017383,1.5,0.0,0
0.001848,0.017415,1.5,0.0,0
0.001851,0.017447,1.5,0.0,0
0.001855,0.017478,1.5,0.0,0
0.001858,0.017509,1.5,0.0,0
0.001861,0.01754,1.5,0.0,0
0.001864,0.017572,1.5,0.0,0
0.001868,0.017603,1.5,0.0,0
0.001871,0.017634,1.5,0.0,0
0.001874,0.017664,1.5,0.0,0
0.001879,0.017708,1.5,0.0,0
0.001882,0.017738,1.5,0.0,0
0.001885,0.017769,1.5,0.0,0
0.001889,0.017802,1.5,0.0,0
0.001892,0.017833,1.5,0.0,0
0.001895,0.017863,1.5,0.0,0
0.001898,0.017893,1.5,0.0,0
0.001902,0.017923,1.5,0.0,0
0.001905,0.017953,1.5,0.0,0
0.00191,0.017998,1.5,0.0,0
0.001913,0.018029,1.5,0.0,0
0.001916,0.018059,1.5,0.0,0
0.001919,0.018089,1.5,0.0,0
0.001924,0.01813,1.5,0.0,0
0.001927,0.018162,1.5,0.0,0
0.001931,0.018195,1.5,0.0,0
0.001935,0.018239,1.5,0.0,0
0.00194,0.018285,1.5,0.0,0
0.001943,0.018316,1.5,0.0,0
0.001947,0.018348,1.5,0.0,0
0.00195,0.01838,1.5,0.0,0
0.001954,0.018412,1.5,0.0,0
0.001957,0.018442,1.5,0.0,0
0.00196,0.018474,1.5,0.0,0
0.001963,0.018506,1.5,0.0,0
0.001967,0.018537,1.5,0.0,0
0.00197,0.018567,1.5,0.0,0
0.001973,0.018597,1.5,0.0,0
0.001977,0.018629,1.5,0.0,0
0.00198,0.01866,1.5,0.0,0
0.001983,0.018692,1.5,0.0,0
0.001986,0.018722,1.5,0.0,0
0.001991,0.018767,1.5,0.0,0
0.001995,0.018799,1.5,0.0,0
0.001998,0.01883,1.5,0.0,0
0.002001,0.018862,1.5,0.0,0
0.002005,0.018894,1.5,0.0,0
0.002008,0.018924,1.5,0.0,0
0.002012,0.018966,1.5,0.0,0
0.002016,0.018999,1.5,0.0,0
0.002019,0.01903,1.5,0.0,0
0.002023,0.019063,1.5,0.0,0
0.002026,0.019096,1.5,0.0,0
0.002029,0.019128,1.5,0.0,0
0.002033,0.019158,1.5,0.0,0
0.002036,0.019188,1.5,0.0,0
0.002039,0.01922,1.5,0.0,0
0.002043,0.01925,1.5,0.0,0
0.002047,0.019297,1.5,0.0,0
0.002052,0.019339,1.5,0.0,0
0.002055,0.019372,1.5,0.0,0
0.002059,0.019402,1.5,0.0,0
0.002062,0.019433,1.5,0.0,0
0.002065,0.019464,1.5,0.0,0
0.002068,0.019494,1.5,0.0,0
0.002072,0.019524,1.5,0.0,0
0.002075,0.019558,1.5,0.0,0
0.002078,0.019588,1.5,0.0,0
0.002082,0.019619,1.5,0.0,0
0.002085,0.01965,1.5,0.0,0
0.002088,0.019682,1.5,0.0,0
0.002092,0.019713,1.5,0.0,0
0.002095,0.019744,1.5,0.0,0
0.0021,0.019794,1.5,0.0,0
0.002104,0.019827,1.5,0.0,0
0.002107,0.019858,1.5,0.0,0
0.002111,0.019893,1.5,0.0,0
0.002114,0.019926,1.5,0.0,0
0.002117,0.019956,1.5,0.0,0
0.002121,0.019987,1.5,0.0,0
0.002124,0.020017,1.5,0.0,0
0.002127,0.020049,1.5,0.0,0
0.002131,0.02008,1.5,0.0,0
0.002134,0.020112,1.5,0.0,0
0.002137,0.020144,1.5,0.0,0
0.002141,0.020175,1.5,0.0,0
0.002144,0.020207,1.5,0.0,0
0.002147,0.020238,1.5,0.0,0
0.002151,0.020269,1.5,0.0,0
0.002155,0.02031,1.5,0.0,0
0.002158,0.020342,1.5,0.0,0
0.002164,0.020398,1.5,0.0,0
0.002168,0.020429,1.5,0.0,0
0.002171,0.020461,1.5,0.0,0
0.002174,0.020493,1.5,0.0,0
0.002178,0.020524,1.5,0.0,0
0.002181,0.020556,1.5,0.0,0
0.002184,0.020587,1.5,0.0,0
0.002188,0.020619,1.5,0.0,0
0.002192,0.02066,1.5,0.0,0
0.002196,0.020692,1.5,0.0,0
0.002199,0.020724,1.5,0.0,0
0.002202,0.020756,1.5,0.0,0
0.002206,0.020787,1.5,0.0,0
0.002209,0.020819,1.5,0.0,0
0.002214,0.020862,1.5,0.0,0
0.002217,0.020895,1.5,0.0,0
0.002221,0.020931,1.5,0.0,0
0.002224,0.020963,1.5,0.0,0
0.002228,0.020995,1.5,0.0,0
0.002231,0.021026,1.5,0.0,0
0.002234,0.021057,1.5,0.0,0
0.002238,0.02109,1.5,0.0,0
0.002241,0.021121,1.5,0.0,0
0.002244,0.021152,1.5,0.0,0
0.002248,0.021183,1.5,0.0,0
0.002251,0.021213,1.5,0.0,0
0.002254,0.021245,1.5,0.0,0
0.002257,0.021276,1.5,0.0,0
0.002261,0.021308,1.5,0.0,0
0.002264,0.021339,1.5,0.0,0
0.002268,0.02138,1.5,0.0,0
0.002272,0.021415,1.5,0.0,0
0.002277,0.021457,1.5,0.0,0
0.00228,0.021489,1.5,0.0,0
0.002284,0.021531,1.5,0.0,0
0.002288,0.021562,1.5,0.0,0
0.002291,0.021593,1.5,0.0,0
0.002294,0.021623,1.5,0.0,0
0.002298,0.021654,1.5,0.0,0
0.002301,0.021685,1.5,0.0,0
0.002304,0.021714,1.5,0.0,0
0.002307,0.021745,1.5,0.0,0
0.00231,0.021774,1.5,0.0,0
0.002314,0.021805,1.5,0.0,0
0.002317,0.021835,1.5,0.0,0
0.00232,0.021866,1.5,0.0,0
0.002325,0.02191,1.5,0.0,0
0.002329,0.021947,1.5,0.0,0
0.002332,0.021978,1.5,0.0,0
0.002335,0.02201,1.5,0.0,0
0.002339,0.022041,1.5,0.0,0
0.002342,0.022071,1.5,0.0,0
0.002345,0.022102,1.5,0.0,0
0.002348,0.022133,1.5,0.0,0
0.002352,0.022163,1.5,0.0,0
0.002355,0.022194,1.5,0.0,0
0.002358,0.022225,1.5,0.0,0
0.002361,0.022256,1.5,0.0,0
0.002365,0.022286,1.5,0.0,0
0.002369,0.022327,1.5,0.0,0
0.002372,0.022358,1.5,0.0,0
0.002376,0.02239,1.5,0.0,0
0.00238,0.02243,1.5,0.0,0
0.002383,0.022462,1.5,0.0,0
0.002388,0.022507,1.5,0.0,0
0.002392,0.022543,1.5,0.0,0
0.002395,0.022577,1.5,0.0,0
0.002399,0.022609,1.5,0.0,0
0.002402,0.022641,1.5,0.0,0
0.002406,0.022673,1.5,0.0,0
0.002409,0.022706,1.5,0.0,0
0.002413,0.022738,1.5,0.0,0
0.002416,0.022768,1.5,0.0,0
0.002419,0.0228,1.5,0.0,0
0.002423,0.022832,1.5,0.0,0
0.002426,0.022864,1.5,0.0,0
0.002429,0.022895,1.5,0.0,0
0.002433,0.022926,1.5,0.0,0
0.002438,0.022974,1.5,0.0,0
0.002441,0.023007,1.5,0.0,0
0.002446,0.023053,1.5,0.0,0
0.002449,0.023086,1.5,0.0,0
0.002453,0.023117,1.5,0.0,0
0.002456,0.023149,1.5,0.0,0
0.00246,0.02319,1.5,0.0,0
0.002464,0.023224,1.5,0.0,0
0.002468,0.023257,1.5,0.0,0
0.002471,0.023289,1.5,0.0,0
0.002474,0.02332,1.5,0.0,0
0.002478,0.02335,1.5,0.0,0
0.002481,0.023382,1.5,0.0,0
0.002484,0.023413,1.5,0.0,0
0.002487,0.023444,1.5,0.0,0
0.002491,0.023476,1.5,0.0,0
0.002496,0.023523,1.5,0.0,0
0.0025,0.023566,1.5,0.0,0
0.002504,0.023597,1.5,0.0,0
0.002507,0.023628,1.5,0.0,0
0.00251,0.023659,1.5,0.0,0
0.002514,0.023691,1.5,0.0,0
0.002517,0.023722,1.5,0.0,0
0.00252,0.023753,1.5,0.0,0
0.002524,0.023784,1.5,0.0,0
0.002527,0.023815,1.5,0.0,0
