model,variant,topology,freq_set,trial_id,zero_lag_group_sync_success,phase_locked_group_success,phase_sync_success,frequency_lock_success,one_to_one_flash_lock_success,final_frequency_spread_hz,flash_count_ratio,extra_flash_rate_hz,mean_pairwise_timing_error_s,mean_pairwise_offset_jitter_s,mean_order_parameter_R,offset_phase_lock_success,sync_diagnostic_label
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.03,directed_chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.1_adaptTrue_gain0.03_directed_chain_strong_heterogeneity_r01,False,False,False,False,False,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptTrue_gain0.03,directed_chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.1_adaptTrue_gain0.03_directed_chain_strong_heterogeneity_r02,False,False,False,False,False,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,all_to_all,near_identical,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_all_to_all_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.165085,0.077007,0.97071,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,all_to_all,near_identical,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_all_to_all_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.165085,0.077007,0.97071,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,all_to_all,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_all_to_all_strong_heterogeneity_r01,False,False,False,False,False,0.725205,1.5333,0.8,0.122353,0.13419,0.972867,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,all_to_all,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_all_to_all_strong_heterogeneity_r02,False,False,False,False,False,0.725205,1.5333,0.8,0.122353,0.13419,0.972867,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_chain_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.177119,0.038504,0.966714,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_chain_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.177119,0.038504,0.966714,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_chain_strong_heterogeneity_r01,False,False,False,False,False,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_chain_strong_heterogeneity_r02,False,False,False,False,False,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,directed_chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_directed_chain_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.177119,0.038504,0.966714,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,directed_chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_directed_chain_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.177119,0.038504,0.966714,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,directed_chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_directed_chain_strong_heterogeneity_r01,False,False,False,False,False,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.1_adaptFalse_gain0.0,directed_chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.1_adaptFalse_gain0.0_directed_chain_strong_heterogeneity_r02,False,False,False,False,False,0.720742,1.5333,0.8,0.124314,0.133215,0.971452,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,all_to_all,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_all_to_all_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,all_to_all,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_all_to_all_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,all_to_all,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_all_to_all_strong_heterogeneity_r01,False,False,False,False,False,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,all_to_all,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_all_to_all_strong_heterogeneity_r02,False,False,False,False,False,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_chain_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_chain_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_chain_strong_heterogeneity_r01,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_chain_strong_heterogeneity_r02,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,directed_chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_directed_chain_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,directed_chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_directed_chain_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,directed_chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_directed_chain_strong_heterogeneity_r01,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.01,directed_chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.01_directed_chain_strong_heterogeneity_r02,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,all_to_all,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_all_to_all_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,all_to_all,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_all_to_all_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,all_to_all,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_all_to_all_strong_heterogeneity_r01,False,False,False,False,False,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,all_to_all,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_all_to_all_strong_heterogeneity_r02,False,False,False,False,False,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_chain_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_chain_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_chain_strong_heterogeneity_r01,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_chain_strong_heterogeneity_r02,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,directed_chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_directed_chain_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,directed_chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_directed_chain_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,directed_chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_directed_chain_strong_heterogeneity_r01,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptTrue_gain0.03,directed_chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptTrue_gain0.03_directed_chain_strong_heterogeneity_r02,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,all_to_all,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_all_to_all_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,all_to_all,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_all_to_all_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,all_to_all,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_all_to_all_strong_heterogeneity_r01,False,False,False,False,False,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,all_to_all,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_all_to_all_strong_heterogeneity_r02,False,False,False,False,False,0.720742,1.5333,0.8,0.132549,0.152178,0.971367,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_chain_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_chain_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_chain_strong_heterogeneity_r01,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,chain,strong_heterogeneity,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_chain_strong_heterogeneity_r02,False,False,False,False,False,0.50536,1.3333,0.5,0.147451,0.142995,0.970946,False,extra_flashes_or_harmonic_locking
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,directed_chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_directed_chain_near_identical_r01,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
pco_adaptive_prc,prc_biphasic_eps0.2_adaptFalse_gain0.0,directed_chain,near_identical,pco_adaptive_prc_prc_biphasic_eps0.2_adaptFalse_gain0.0_directed_chain_near_identical_r02,False,False,False,True,True,0.0,1.0,0.0,0.175593,0.038504,0.972534,False,phase_not_synchronised
